participant_id,timestamp,age,musical_experience,plays_instrument,sings_in_choir,uses_ai_weekly,confidence_before,confidence_after,difficulty,free_feedback,stimulus,response,correct,correct_response,rt,training
e5258291-adb0-4836-96ef-3b394e48b230,2026-05-13T13-35-31-230Z,20,erfahren,ja,nein,ja,unsicher,unsicher,sehr schwer,"Ich kenne die Bachchoräle zwar nicht super gut, aber die Aufgabe ist glaube ich auch wenn man sie kennen würde sehr anspruchsvoll, da vergleichsweise kurze Ausschnitte gezeigt werden und man m.E. nach KI-Kompositionen an einer mangelnden ""großen Linie"" erkennen kann",data/H/153.5-3.wav,x,m,FALSE,9871,FALSE
e5258291-adb0-4836-96ef-3b394e48b230,2026-05-13T13-35-31-230Z,20,erfahren,ja,nein,ja,unsicher,unsicher,sehr schwer,"Ich kenne die Bachchoräle zwar nicht super gut, aber die Aufgabe ist glaube ich auch wenn man sie kennen würde sehr anspruchsvoll, da vergleichsweise kurze Ausschnitte gezeigt werden und man m.E. nach KI-Kompositionen an einer mangelnden ""großen Linie"" erkennen kann",data/H/256-5.wav,m,m,TRUE,7578,FALSE
e5258291-adb0-4836-96ef-3b394e48b230,2026-05-13T13-35-31-230Z,20,erfahren,ja,nein,ja,unsicher,unsicher,sehr schwer,"Ich kenne die Bachchoräle zwar nicht super gut, aber die Aufgabe ist glaube ich auch wenn man sie kennen würde sehr anspruchsvoll, da vergleichsweise kurze Ausschnitte gezeigt werden und man m.E. nach KI-Kompositionen an einer mangelnden ""großen Linie"" erkennen kann",data/H/227.11-5.wav,m,m,TRUE,9041,FALSE
e5258291-adb0-4836-96ef-3b394e48b230,2026-05-13T13-35-31-230Z,20,erfahren,ja,nein,ja,unsicher,unsicher,sehr schwer,"Ich kenne die Bachchoräle zwar nicht super gut, aber die Aufgabe ist glaube ich auch wenn man sie kennen würde sehr anspruchsvoll, da vergleichsweise kurze Ausschnitte gezeigt werden und man m.E. nach KI-Kompositionen an einer mangelnden ""großen Linie"" erkennen kann",data/H/122.6-4.wav,x,m,FALSE,9712,FALSE
e5258291-adb0-4836-96ef-3b394e48b230,2026-05-13T13-35-31-230Z,20,erfahren,ja,nein,ja,unsicher,unsicher,sehr schwer,"Ich kenne die Bachchoräle zwar nicht super gut, aber die Aufgabe ist glaube ich auch wenn man sie kennen würde sehr anspruchsvoll, da vergleichsweise kurze Ausschnitte gezeigt werden und man m.E. nach KI-Kompositionen an einer mangelnden ""großen Linie"" erkennen kann",data/A/output48-2.wav,x,x,TRUE,8551,FALSE
e5258291-adb0-4836-96ef-3b394e48b230,2026-05-13T13-35-31-230Z,20,erfahren,ja,nein,ja,unsicher,unsicher,sehr schwer,"Ich kenne die Bachchoräle zwar nicht super gut, aber die Aufgabe ist glaube ich auch wenn man sie kennen würde sehr anspruchsvoll, da vergleichsweise kurze Ausschnitte gezeigt werden und man m.E. nach KI-Kompositionen an einer mangelnden ""großen Linie"" erkennen kann",data/A/output28-2.wav,m,x,FALSE,12690,FALSE
e5258291-adb0-4836-96ef-3b394e48b230,2026-05-13T13-35-31-230Z,20,erfahren,ja,nein,ja,unsicher,unsicher,sehr schwer,"Ich kenne die Bachchoräle zwar nicht super gut, aber die Aufgabe ist glaube ich auch wenn man sie kennen würde sehr anspruchsvoll, da vergleichsweise kurze Ausschnitte gezeigt werden und man m.E. nach KI-Kompositionen an einer mangelnden ""großen Linie"" erkennen kann",data/H/283-7.wav,x,m,FALSE,12771,FALSE
e5258291-adb0-4836-96ef-3b394e48b230,2026-05-13T13-35-31-230Z,20,erfahren,ja,nein,ja,unsicher,unsicher,sehr schwer,"Ich kenne die Bachchoräle zwar nicht super gut, aber die Aufgabe ist glaube ich auch wenn man sie kennen würde sehr anspruchsvoll, da vergleichsweise kurze Ausschnitte gezeigt werden und man m.E. nach KI-Kompositionen an einer mangelnden ""großen Linie"" erkennen kann",data/A/output10-6.wav,x,x,TRUE,8501,FALSE
e5258291-adb0-4836-96ef-3b394e48b230,2026-05-13T13-35-31-230Z,20,erfahren,ja,nein,ja,unsicher,unsicher,sehr schwer,"Ich kenne die Bachchoräle zwar nicht super gut, aber die Aufgabe ist glaube ich auch wenn man sie kennen würde sehr anspruchsvoll, da vergleichsweise kurze Ausschnitte gezeigt werden und man m.E. nach KI-Kompositionen an einer mangelnden ""großen Linie"" erkennen kann",data/H/244.15-6.wav,m,m,TRUE,8072,FALSE
e5258291-adb0-4836-96ef-3b394e48b230,2026-05-13T13-35-31-230Z,20,erfahren,ja,nein,ja,unsicher,unsicher,sehr schwer,"Ich kenne die Bachchoräle zwar nicht super gut, aber die Aufgabe ist glaube ich auch wenn man sie kennen würde sehr anspruchsvoll, da vergleichsweise kurze Ausschnitte gezeigt werden und man m.E. nach KI-Kompositionen an einer mangelnden ""großen Linie"" erkennen kann",data/H/175.5-5.wav,x,m,FALSE,8449,FALSE
